VehicleID,InRotation,CostVehicle,CostDeadleg,CostMaintenance,DistDeadlegsKm,DistAvgBetweenMaintenance,DistStdBetweenMaintenance,SOClb,SOCub,SecondsIdle,SecondsProductive,SecondsMaintenance,SecondsCharging
0,1,5000,440,5899.53,20,667.5,106.5,38,229,80100,114000,19200,48600
1,1,5000,380,4610.92,20,623,40,38,250,48480,91200,19200,41400
2,1,5000,500,5115.74,30,649.333,88.2131,38,250,45540,114000,28800,51900
3,1,5000,410,5131.67,20,762.5,11.5,38,250,75840,102600,19200,46500
4,1,5000,520,4088.47,40,498.5,209.436,38,237,60300,102600,38400,45000
