VehicleID,InRotation,CostVehicle,CostDeadleg,CostMaintenance,DistDeadlegsKm,DistAvgBetweenMaintenance,DistStdBetweenMaintenance,SOClb,SOCub,SecondsIdle,SecondsProductive,SecondsMaintenance,SecondsCharging
0,1,5000,490,5047.3,30,639.333,95.6463,38,233,64740,114000,28800,48900
1,1,5000,360,3866.02,20,527.5,135.5,38,250,53580,79800,19200,36900
2,1,5000,500,5115.74,30,649.333,88.2131,38,250,61740,114000,28800,51900
3,1,5000,490,5277.99,30,448,228.001,38,250,59460,114000,28800,52500
4,1,5000,460,4940.69,30,470.333,235.183,38,233,57360,102600,28800,44700
