VehicleID,InRotation,CostVehicle,CostDeadleg,CostMaintenance,DistDeadlegsKm,DistAvgBetweenMaintenance,DistStdBetweenMaintenance,SOClb,SOCub,SecondsIdle,SecondsProductive,SecondsMaintenance,SecondsCharging
0,1,5000,500,8197.64,20,858.5,84.5,38,229,44280,136800,19200,58200
1,1,5000,520,4089.91,40,507.5,207.319,38,250,51240,102600,38400,47700
2,1,5000,350,3748.54,20,587,4,38,247,54480,79800,19200,36300
3,1,5000,460,7162.38,20,858,84,38,250,60540,125400,19200,56700
4,1,5000,440,6912.18,20,700.5,73.5,38,229,51900,114000,19200,48600
5,1,5000,470,8540.43,20,970,196,38,245,37680,125400,19200,53400
