IndexPlanningHorizon,IndexBranchingNode,Iteration,LBfrac,UBfrac,GAPfrac,IntFound,LBint,UBint,GAPint,MSecondsMP,MSecondsPP,MSecondsAUXCG,MSecondsStrongBranching,MPSizeConstraints,MPSizeVariables,ColumnsAdded,PPNetworkConstructionTime,PPNetworkSizeNodes,PPNetworkSizeArcs,LazyConstraintAdded,BranchType,IndexParentBranchingNode,MSecondsFilterMPVars,MSecondsFilterPPNodes,VehicleID,TripID,MaintenanceID,FracValue,BranchValue
3,1,1,-205309,86881.9,3.36308,1,-205309,86881.9,3.36308,0,0,0,0,37,105,71,0,31,92,,,,,,,,,,
3,1,2,-205309,49253.6,5.16841,1,-205309,49253.6,5.16841,0,0,0,0,37,169,64,0,37,153,,,,,,,,,,
3,1,3,-204031,49253.6,5.14247,0,-204031,49253.6,5.14247,0,0,0,0,37,215,46,0,41,156,,,,,,,,,,
3,1,4,47338.2,47885.3,0.011425,1,47338.2,47885.3,0.011425,0,0,0,0,37,234,19,0,38,156,,,,,,,,,,
3,1,5,47794.3,47794.3,0,1,47794.3,47794.3,0,0,0,0,0,37,239,5,0,40,143,,,,,,,,,,
4,1,0,-1.79769e+308,540000,3.32906e+302,1,-1.79769e+308,540000,3.32906e+302,0,0,0,0,39,36,0,0,0,0,,,,,,,,,,
4,1,1,-203601,87383.3,3.32997,1,-203601,87383.3,3.32997,0,0,0,0,39,132,96,0,34,105,,,,,,,,,,
4,1,2,-203601,51207.5,4.976,1,-203601,51207.5,4.976,0,0,0,0,39,213,81,0,41,200,,,,,,,,,,
4,1,3,-138687,50047.7,3.77111,1,-138687,50047.7,3.77111,0,0,0,0,39,268,55,0,41,232,,,,,,,,,,
4,1,4,48895.6,50047.7,0.0230203,0,48895.6,50047.7,0.0230203,0,0,0,0,39,271,3,0,38,164,,,,,,,,,,
4,1,5,50047.7,50047.7,0,0,50047.7,50047.7,0,0,0,0,0,39,271,0,0,38,167,,,,,,,,,,
5,1,0,-1.79769e+308,560000,3.21017e+302,1,-1.79769e+308,560000,3.21017e+302,0,0,0,0,40,37,0,0,0,0,,,,,,,,,,
5,1,1,-225822,69889.6,4.23112,1,-225822,69889.6,4.23112,0,0,0,0,40,97,60,0,33,95,,,,,,,,,,
5,1,2,-225822,31849.2,8.09034,0,-225822,69889.6,4.23112,0,0,0,0,40,171,74,0,39,181,,,,,,,,,,
5,1,3,24097.7,31417.4,0.232984,0,24097.7,69889.6,0.655203,0,0,0,0,40,195,24,0,38,161,,,,,,,,,,
5,1,4,29675.2,31409.1,0.0552015,0,29675.2,69889.6,0.575398,0,0,0,0,40,202,7,0,37,163,,,,,,,,,,
5,1,5,31409.1,31409.1,0,0,31409.1,69889.6,0.55059,0,0,0,0,40,202,0,0,36,147,,,,,,,,,,
5,1,,,,,,,,,,,,,,,,,,,,Trunc. CG,4294967295,0,0,,,,1.79769e+308,1.79769e+308
5,2,,,,,,,,,,,,,,,,,,,,VEHICLE_TRIP,1,0,0,,,,0.5,1
5,2,4294967295,-1.79769e+308,1.79769e+308,inf,0,0,1.79769e+308,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
5,2,0,31409.1,32841.4,0.0436126,1,31409.1,32841.4,0.0436126,0,0,0,0,40,202,0,0,36,147,,,,,,,,,,
5,2,1,31409.1,31700.9,0.0092063,0,31409.1,32841.4,0.0436126,0,0,0,0,40,222,20,0,37,168,,,,,,,,,,
