VehicleID,InRotation,CostVehicle,CostDeadleg,CostMaintenance,DistDeadlegsKm,DistAvgBetweenMaintenance,DistStdBetweenMaintenance,SOClb,SOCub,SecondsIdle,SecondsProductive,SecondsMaintenance,SecondsCharging
0,1,5000,420,10321.9,10,1134,0,38,225,48720,125400,9600,53100
1,1,5000,420,3913.02,30,482.333,234.04,38,250,45420,91200,28800,41700
2,1,5000,400,6106.24,20,682.5,91.5,38,250,45660,102600,19200,46500
3,1,5000,530,6287.24,30,575.333,302.561,38,250,53760,125400,28800,57600
4,1,5000,530,7104.34,30,788.667,138.377,38,233,66840,125400,28800,53700
5,1,5000,430,6897.06,20,779,196,38,239,49560,114000,19200,48600
