VehicleID,InRotation,CostVehicle,CostDeadleg,CostMaintenance,DistDeadlegsKm,DistAvgBetweenMaintenance,DistStdBetweenMaintenance,SOClb,SOCub,SecondsIdle,SecondsProductive,SecondsMaintenance,SecondsCharging
0,1,5000,490,8197.64,20,858.5,84.5,38,229,55320,136800,19200,58200
1,1,5000,400,6101.48,20,623,151,38,250,53760,102600,19200,46500
2,1,5000,400,6106.24,20,682.5,91.5,38,250,63180,102600,19200,46500
3,1,5000,480,7225.03,20,762.5,202.5,38,250,63540,125400,19200,56700
4,1,5000,610,7135.3,40,689.5,85.92,38,237,43140,148200,38400,63600
5,1,5000,410,5537.91,20,683.5,90.5,38,239,51000,102600,19200,43800
6,1,5000,440,6137.12,20,791.5,17.5,38,250,69480,114000,19200,51600
