VehicleID,InRotation,CostVehicle,CostDeadleg,CostMaintenance,DistDeadlegsKm,DistAvgBetweenMaintenance,DistStdBetweenMaintenance,SOClb,SOCub,SecondsIdle,SecondsProductive,SecondsMaintenance,SecondsCharging
0,1,5000,400,4862.78,20,572,11,38,229,61680,102600,19200,43800
1,1,5000,520,4941.37,30,609.667,37.7124,38,250,56040,114000,28800,51900
2,1,5000,470,4078.99,30,585.667,3.77124,38,250,58560,102600,28800,46800
3,1,5000,460,4256.52,30,511.667,230.132,38,250,68700,102600,28800,47400
4,1,5000,520,4088.47,40,498.5,209.436,38,237,60300,102600,38400,45000
