VehicleID,InRotation,CostVehicle,CostDeadleg,CostMaintenance,DistDeadlegsKm,DistAvgBetweenMaintenance,DistStdBetweenMaintenance,SOClb,SOCub,SecondsIdle,SecondsProductive,SecondsMaintenance,SecondsCharging
0,1,5000,520,6308.67,30,703,169.706,38,233,51720,125400,28800,53700
1,1,5000,440,6976.26,20,814,151,38,250,71100,114000,19200,51600
2,1,5000,510,6144.84,30,649.333,88.2131,38,250,48240,125400,28800,57000
3,1,5000,470,7225.03,20,762.5,202.5,38,250,54540,125400,19200,56700
4,1,5000,420,7428.64,20,700.5,264.5,38,229,71100,114000,19200,48600
5,1,5000,410,5822.12,20,588,5,38,237,61080,102600,19200,43800
6,1,5000,460,7465.72,20,887,78,38,250,60840,125400,19200,56700
