VehicleID,InRotation,CostVehicle,CostDeadleg,CostMaintenance,DistDeadlegsKm,DistAvgBetweenMaintenance,DistStdBetweenMaintenance,SOClb,SOCub,SecondsIdle,SecondsProductive,SecondsMaintenance,SecondsCharging
0,1,5000,460,7202.15,20,858.5,106.5,38,229,66600,125400,19200,53400
1,1,5000,440,6976.26,20,814,151,38,250,67680,114000,19200,51600
2,1,5000,400,6106.24,20,682.5,91.5,38,250,43800,102600,19200,46500
3,1,5000,360,7116.14,10,942,0,38,246,67620,102600,9600,46200
4,1,5000,610,7135.3,40,689.5,85.92,38,237,46560,148200,38400,63600
5,1,5000,520,6152.56,30,586.333,156.022,38,247,70380,125400,28800,53700
6,1,5000,430,6606.22,20,696,269,38,250,55800,114000,19200,51600
