MaintenanceID,VehicleID,MaintenanceLocationID,StartTime,EndTime
10,,2,2024-05-01 11:42:00+0000,2024-05-01 14:22:00+0000
13,,2,2024-05-01 17:24:00+0000,2024-05-01 20:04:00+0000
19,,2,2024-05-02 15:30:00+0000,2024-05-02 18:10:00+0000
20,,2,2024-05-02 17:24:00+0000,2024-05-02 20:04:00+0000
26,,2,2024-05-03 15:30:00+0000,2024-05-03 18:10:00+0000
27,,2,2024-05-03 17:24:00+0000,2024-05-03 20:04:00+0000
29,,2,2024-05-04 07:54:00+0000,2024-05-04 10:34:00+0000
30,,2,2024-05-04 09:48:00+0000,2024-05-04 12:28:00+0000
31,,2,2024-05-04 11:42:00+0000,2024-05-04 14:22:00+0000
